id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
11611600|F|29|160|2|-1.0|1|-1|0|0.0|0|5|1|1|1|-1|24.5|1|0|0|0|0|0|1|M|32|172|-1|0|1|1|1|0.0|0|0|-4|-1|1|-1|31.0|1|0|0|0|1|1|1
2952987|F|27|163|2|0.0|1|-1|0|0.0|0|5|3|0|1|1|23.5|0|0|0|0|0|0|2|M|32|172|-1|1|1|1|1|0.0|1|0|1|1|1|0|30.0|0|0|0|0|0|0|2
19532077|F|47|165|5|0.0|1|1|1|-1.0|0|5|3|-1|-1|-1|26.5|0|0|1|1|1|0|0|M|44|185|-1|-1|0|-1|0|1.0|1|0|-5|-4|-1|-1|60.0|-1|1|1|1|0|0|1
3879963|F|32|169|3|-1.0|1|-1|0|0.0|0|0|0|0|0|0|-1.0|1|0|0|0|0|0|4|M|35|174|0|1|1|-1|0|0.0|0|0|0|0|0|0|20.0|0|0|0|0|0|0|0
14811019|F|31|162|2|-1.0|1|-1|0|1.0|0|0|0|0|0|0|27.5|1|0|0|0|0|0|1|M|33|173|-2|-1|1|-1|1|2.0|1|0|3|0|1|1|35.0|1|0|0|0|1|1|1
3960522|F|25|166|2|-1.0|1|-1|0|-1.0|0|0|0|0|0|-1|23.0|0|0|0|0|0|0|0|M|27|180|-1|0|1|0|0|-1.0|0|-1|-1|-1|0|0|21.333333333333332|0|0|0|0|0|0|0
12984225|F|38|169|2|0.0|1|-1|0|-1.0|1|3|1|1|-1|0|27.0|0|0|1|1|0|0|3|M|36|172|-1|1|1|-1|0|2.0|1|0|-1|0|1|0|36.0|0|0|0|0|0|1|3
31159949|F|25|165|2|0.0|1|-1|0|0.0|0|3|1|1|1|0|27.5|0|0|0|0|0|0|0|M|28|188|0|1|1|0|0|0.0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
13336466|F|30|158|2|1.0|1|-1|1|0.0|0|3|-1|1|1|-1|23.5|0|0|0|0|0|0|0|M|36|173|-2|1|1|1|1|0.0|0|-1|3|1|1|0|30.0|0|-1|0|0|1|1|4
19988683|F|31|164|2|0.0|0|0|0|-1.0|0|0|1|1|0|0|-1.0|1|0|0|0|1|0|2|M|30|174|0|1|1|-1|0|0.0|1|0|-1|0|0|1|23.0|1|0|0|0|1|1|2
1309780|F|33|168|2|-1.0|1|0|0|-1.0|0|5|0|0|0|1|-1.0|1|1|0|0|0|1|3|M|34|175|0|0|1|-1|0|2.0|0|0|-1|-1|0|0|26.666666666666668|1|1|0|0|0|0|3
5038367|F|34|164|2|0.0|1|-1|0|0.0|0|5|1|-1|0|-1|24.0|-1|-1|0|0|0|0|3|M|36|172|0|1|1|1|1|0.0|1|0|3|1|1|0|47.5|-1|-1|0|0|1|1|3
2026189|F|43|156|2|-1.0|1|-1|0|0.0|0|5|1|-1|0|0|22.5|0|-1|1|0|1|0|4|M|42|180|-1|-1|1|-1|1|2.0|0|0|0|0|0|0|27.333333333333332|0|0|1|1|0|0|1
22510292|F|51|155|5|0.0|1|1|1|-1.0|0|3|1|0|-1|0|23.0|1|0|1|1|0|0|3|M|52|165|-1|0|1|-1|1|0.0|0|0|3|1|0|0|31.5|0|0|1|1|0|0|0
2297409|F|37|160|3|0.0|1|1|1|0.0|0|3|0|0|0|0|28.5|0|1|1|0|1|1|1|M|43|170|2|2|1|1|1|2.0|0|0|3|-1|0|0|35.0|0|0|1|1|0|0|0
30874983|F|62|156|1|-1.0|1|0|0|0.0|0|0|3|0|0|-1|37.5|-1|-1|1|0|0|0|1|M|67|170|-2|0|1|1|0|0.0|1|0|1|-1|-1|1|37.5|1|0|0|0|0|1|3
31841432|F|29|168|3|0.0|1|-1|0|0.0|1|5|3|0|1|0|26.0|-1|1|0|0|0|1|3|M|27|185|2|0|1|1|1|0.0|0|0|-1|0|1|1|-1.0|-1|1|0|0|1|1|3
11776669|F|37|165|2|-1.0|1|-1|0|0.0|0|5|1|1|1|0|26.0|-1|1|0|0|1|1|3|M|43|172|0|0|1|-1|1|0.0|1|-1|1|-1|0|1|32.5|-1|1|1|1|0|0|3
4961178|F|38|156|1|-1.0|1|-1|0|0.0|0|3|3|-1|0|0|27.5|1|0|1|1|0|0|3|M|44|160|-1|0|1|-1|0|0.0|1|-1|-1|-1|0|0|27.0|1|0|1|1|1|1|3
42183324|F|28|167|2|0.0|1|-1|1|0.0|0|5|1|0|1|0|27.5|1|0|0|0|1|1|3|M|25|184|0|0|1|1|0|0.0|0|-1|-4|-1|0|0|24.666666666666668|1|0|0|0|1|1|3
